,0
10,"{'danceability': 0.642, 'energy': 0.91, 'key': 10, 'loudness': -4.033, 'mode': 1, 'speechiness': 0.127, 'acousticness': 0.0381, 'instrumentalness': 0.000127, 'liveness': 0.412, 'valence': 0.519, 'tempo': 103.127, 'type': 'audio_features', 'id': '4NzZbRu1J9V5KrH2ZFs3O4', 'uri': 'spotify:track:4NzZbRu1J9V5KrH2ZFs3O4', 'track_href': 'https://api.spotify.com/v1/tracks/4NzZbRu1J9V5KrH2ZFs3O4', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4NzZbRu1J9V5KrH2ZFs3O4', 'duration_ms': 194829, 'time_signature': 4}"
11,"{'danceability': 0.524, 'energy': 0.872, 'key': 2, 'loudness': -4.84, 'mode': 1, 'speechiness': 0.0805, 'acousticness': 0.0437, 'instrumentalness': 0.0362, 'liveness': 0.102, 'valence': 0.626, 'tempo': 133.99, 'type': 'audio_features', 'id': '1T2asnfFTKOsdzvT3rLIo3', 'uri': 'spotify:track:1T2asnfFTKOsdzvT3rLIo3', 'track_href': 'https://api.spotify.com/v1/tracks/1T2asnfFTKOsdzvT3rLIo3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1T2asnfFTKOsdzvT3rLIo3', 'duration_ms': 167123, 'time_signature': 4}"
12,"{'danceability': 0.452, 'energy': 0.622, 'key': 7, 'loudness': -4.886, 'mode': 0, 'speechiness': 0.0429, 'acousticness': 0.0906, 'instrumentalness': 9.12e-06, 'liveness': 0.144, 'valence': 0.213, 'tempo': 87.995, 'type': 'audio_features', 'id': '3MtxiqrTNRwtj9EIVDjRSU', 'uri': 'spotify:track:3MtxiqrTNRwtj9EIVDjRSU', 'track_href': 'https://api.spotify.com/v1/tracks/3MtxiqrTNRwtj9EIVDjRSU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3MtxiqrTNRwtj9EIVDjRSU', 'duration_ms': 364091, 'time_signature': 4}"
13,"{'danceability': 0.288, 'energy': 0.758, 'key': 6, 'loudness': -5.692, 'mode': 0, 'speechiness': 0.0371, 'acousticness': 0.00616, 'instrumentalness': 0, 'liveness': 0.303, 'valence': 0.619, 'tempo': 97.094, 'type': 'audio_features', 'id': '2AT8iROs4FQueDv2c8q2KE', 'uri': 'spotify:track:2AT8iROs4FQueDv2c8q2KE', 'track_href': 'https://api.spotify.com/v1/tracks/2AT8iROs4FQueDv2c8q2KE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2AT8iROs4FQueDv2c8q2KE', 'duration_ms': 201726, 'time_signature': 4}"
14,"{'danceability': 0.447, 'energy': 0.827, 'key': 4, 'loudness': -5.195, 'mode': 1, 'speechiness': 0.124, 'acousticness': 7.7e-05, 'instrumentalness': 0.0145, 'liveness': 0.0917, 'valence': 0.411, 'tempo': 136.019, 'type': 'audio_features', 'id': '2EDuTLFathp2H49IfULO9G', 'uri': 'spotify:track:2EDuTLFathp2H49IfULO9G', 'track_href': 'https://api.spotify.com/v1/tracks/2EDuTLFathp2H49IfULO9G', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2EDuTLFathp2H49IfULO9G', 'duration_ms': 210733, 'time_signature': 4}"
15,"{'danceability': 0.677, 'energy': 0.832, 'key': 7, 'loudness': -4.047, 'mode': 1, 'speechiness': 0.0404, 'acousticness': 0.197, 'instrumentalness': 0, 'liveness': 0.49, 'valence': 0.706, 'tempo': 86.994, 'type': 'audio_features', 'id': '2BeHu27OvmbAlktA38t1NC', 'uri': 'spotify:track:2BeHu27OvmbAlktA38t1NC', 'track_href': 'https://api.spotify.com/v1/tracks/2BeHu27OvmbAlktA38t1NC', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2BeHu27OvmbAlktA38t1NC', 'duration_ms': 199398, 'time_signature': 4}"
16,"{'danceability': 0.454, 'energy': 0.82, 'key': 2, 'loudness': -4.193, 'mode': 1, 'speechiness': 0.0567, 'acousticness': 0.132, 'instrumentalness': 0.000969, 'liveness': 0.115, 'valence': 0.575, 'tempo': 166.303, 'type': 'audio_features', 'id': '0UV5zxRMz6AO4ZwUOZNIKI', 'uri': 'spotify:track:0UV5zxRMz6AO4ZwUOZNIKI', 'track_href': 'https://api.spotify.com/v1/tracks/0UV5zxRMz6AO4ZwUOZNIKI', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0UV5zxRMz6AO4ZwUOZNIKI', 'duration_ms': 234800, 'time_signature': 4}"
17,"{'danceability': 0.864, 'energy': 0.655, 'key': 11, 'loudness': -9.438, 'mode': 1, 'speechiness': 0.0475, 'acousticness': 0.3, 'instrumentalness': 0.0285, 'liveness': 0.136, 'valence': 0.271, 'tempo': 113.033, 'type': 'audio_features', 'id': '3xQgFxJfb3rfHIoBWd9M2u', 'uri': 'spotify:track:3xQgFxJfb3rfHIoBWd9M2u', 'track_href': 'https://api.spotify.com/v1/tracks/3xQgFxJfb3rfHIoBWd9M2u', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3xQgFxJfb3rfHIoBWd9M2u', 'duration_ms': 230037, 'time_signature': 4}"
18,"{'danceability': 0.854, 'energy': 0.631, 'key': 11, 'loudness': -8.197, 'mode': 0, 'speechiness': 0.0452, 'acousticness': 0.884, 'instrumentalness': 0.00999, 'liveness': 0.202, 'valence': 0.609, 'tempo': 119.986, 'type': 'audio_features', 'id': '4Z3P5tSmsB7BkFHFc38dz7', 'uri': 'spotify:track:4Z3P5tSmsB7BkFHFc38dz7', 'track_href': 'https://api.spotify.com/v1/tracks/4Z3P5tSmsB7BkFHFc38dz7', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4Z3P5tSmsB7BkFHFc38dz7', 'duration_ms': 228062, 'time_signature': 4}"
19,"{'danceability': 0.674, 'energy': 0.588, 'key': 1, 'loudness': -4.849, 'mode': 1, 'speechiness': 0.0403, 'acousticness': 0.179, 'instrumentalness': 1.44e-06, 'liveness': 0.0938, 'valence': 0.585, 'tempo': 94.077, 'type': 'audio_features', 'id': '3OJ0qtEbfXrqSWizwfKkaZ', 'uri': 'spotify:track:3OJ0qtEbfXrqSWizwfKkaZ', 'track_href': 'https://api.spotify.com/v1/tracks/3OJ0qtEbfXrqSWizwfKkaZ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3OJ0qtEbfXrqSWizwfKkaZ', 'duration_ms': 231303, 'time_signature': 4}"
20,"{'danceability': 0.559, 'energy': 0.784, 'key': 1, 'loudness': -5.203, 'mode': 0, 'speechiness': 0.0426, 'acousticness': 0.00979, 'instrumentalness': 0, 'liveness': 0.152, 'valence': 0.667, 'tempo': 101.998, 'type': 'audio_features', 'id': '48TgHQ5tyu2tvrzeudIaBl', 'uri': 'spotify:track:48TgHQ5tyu2tvrzeudIaBl', 'track_href': 'https://api.spotify.com/v1/tracks/48TgHQ5tyu2tvrzeudIaBl', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/48TgHQ5tyu2tvrzeudIaBl', 'duration_ms': 226466, 'time_signature': 4}"
21,"{'danceability': 0.214, 'energy': 0.747, 'key': 11, 'loudness': -5.12, 'mode': 1, 'speechiness': 0.0513, 'acousticness': 0.037, 'instrumentalness': 1.71e-05, 'liveness': 0.0759, 'valence': 0.325, 'tempo': 177.081, 'type': 'audio_features', 'id': '6Bu2GVIcWsPQLkEmq3yrWx', 'uri': 'spotify:track:6Bu2GVIcWsPQLkEmq3yrWx', 'track_href': 'https://api.spotify.com/v1/tracks/6Bu2GVIcWsPQLkEmq3yrWx', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6Bu2GVIcWsPQLkEmq3yrWx', 'duration_ms': 214400, 'time_signature': 4}"
22,"{'danceability': 0.553, 'energy': 0.932, 'key': 0, 'loudness': -5.74, 'mode': 1, 'speechiness': 0.053, 'acousticness': 0.00214, 'instrumentalness': 4.35e-06, 'liveness': 0.0967, 'valence': 0.791, 'tempo': 139.999, 'type': 'audio_features', 'id': '4xe0FrPoBqELU1p7ZbEFpK', 'uri': 'spotify:track:4xe0FrPoBqELU1p7ZbEFpK', 'track_href': 'https://api.spotify.com/v1/tracks/4xe0FrPoBqELU1p7ZbEFpK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4xe0FrPoBqELU1p7ZbEFpK', 'duration_ms': 213147, 'time_signature': 4}"
23,"{'danceability': 0.542, 'energy': 0.906, 'key': 9, 'loudness': -4.213, 'mode': 1, 'speechiness': 0.0491, 'acousticness': 0.021, 'instrumentalness': 0.00043, 'liveness': 0.377, 'valence': 0.515, 'tempo': 120.014, 'type': 'audio_features', 'id': '6CES1554HcWMIVroJfmmBm', 'uri': 'spotify:track:6CES1554HcWMIVroJfmmBm', 'track_href': 'https://api.spotify.com/v1/tracks/6CES1554HcWMIVroJfmmBm', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6CES1554HcWMIVroJfmmBm', 'duration_ms': 245456, 'time_signature': 4}"
24,"{'danceability': 0.588, 'energy': 0.952, 'key': 7, 'loudness': -3.885, 'mode': 1, 'speechiness': 0.0373, 'acousticness': 0.00144, 'instrumentalness': 0.000706, 'liveness': 0.283, 'valence': 0.524, 'tempo': 135.981, 'type': 'audio_features', 'id': '2gSjOPTCqZEjM18Zv0W94w', 'uri': 'spotify:track:2gSjOPTCqZEjM18Zv0W94w', 'track_href': 'https://api.spotify.com/v1/tracks/2gSjOPTCqZEjM18Zv0W94w', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2gSjOPTCqZEjM18Zv0W94w', 'duration_ms': 227051, 'time_signature': 4}"
25,"{'danceability': 0.539, 'energy': 0.41, 'key': 11, 'loudness': -10.079, 'mode': 0, 'speechiness': 0.0338, 'acousticness': 0.672, 'instrumentalness': 0.0137, 'liveness': 0.0768, 'valence': 0.3, 'tempo': 83.03, 'type': 'audio_features', 'id': '6NSYrv5GuXzlpLkOqlBe9N', 'uri': 'spotify:track:6NSYrv5GuXzlpLkOqlBe9N', 'track_href': 'https://api.spotify.com/v1/tracks/6NSYrv5GuXzlpLkOqlBe9N', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6NSYrv5GuXzlpLkOqlBe9N', 'duration_ms': 256926, 'time_signature': 4}"
26,"{'danceability': 0.641, 'energy': 0.639, 'key': 11, 'loudness': -12.974, 'mode': 1, 'speechiness': 0.0312, 'acousticness': 0.466, 'instrumentalness': 0.0167, 'liveness': 0.0757, 'valence': 0.618, 'tempo': 125.067, 'type': 'audio_features', 'id': '0kSs2zmoa2t9YrXzEDHSYJ', 'uri': 'spotify:track:0kSs2zmoa2t9YrXzEDHSYJ', 'track_href': 'https://api.spotify.com/v1/tracks/0kSs2zmoa2t9YrXzEDHSYJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0kSs2zmoa2t9YrXzEDHSYJ', 'duration_ms': 358373, 'time_signature': 4}"
27,"{'danceability': 0.746, 'energy': 0.765, 'key': 3, 'loudness': -5.487, 'mode': 1, 'speechiness': 0.054, 'acousticness': 0.366, 'instrumentalness': 0.00156, 'liveness': 0.0799, 'valence': 0.972, 'tempo': 154.971, 'type': 'audio_features', 'id': '0bkNJm3BcQyHpytMI7a3TX', 'uri': 'spotify:track:0bkNJm3BcQyHpytMI7a3TX', 'track_href': 'https://api.spotify.com/v1/tracks/0bkNJm3BcQyHpytMI7a3TX', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0bkNJm3BcQyHpytMI7a3TX', 'duration_ms': 207192, 'time_signature': 5}"
28,"{'danceability': 0.55, 'energy': 0.596, 'key': 7, 'loudness': -8.214, 'mode': 1, 'speechiness': 0.134, 'acousticness': 0.162, 'instrumentalness': 0.00481, 'liveness': 0.0805, 'valence': 0.253, 'tempo': 165.736, 'type': 'audio_features', 'id': '7p4vHnYXkxlzvfePJVpcTr', 'uri': 'spotify:track:7p4vHnYXkxlzvfePJVpcTr', 'track_href': 'https://api.spotify.com/v1/tracks/7p4vHnYXkxlzvfePJVpcTr', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7p4vHnYXkxlzvfePJVpcTr', 'duration_ms': 297404, 'time_signature': 4}"
29,"{'danceability': 0.65, 'energy': 0.52, 'key': 1, 'loudness': -10.206, 'mode': 1, 'speechiness': 0.0413, 'acousticness': 0.00306, 'instrumentalness': 0.00553, 'liveness': 0.112, 'valence': 0.401, 'tempo': 89.999, 'type': 'audio_features', 'id': '2xdYO2kc8ZQ711YFCO2Wth', 'uri': 'spotify:track:2xdYO2kc8ZQ711YFCO2Wth', 'track_href': 'https://api.spotify.com/v1/tracks/2xdYO2kc8ZQ711YFCO2Wth', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2xdYO2kc8ZQ711YFCO2Wth', 'duration_ms': 265893, 'time_signature': 4}"
30,"{'danceability': 0.707, 'energy': 0.725, 'key': 9, 'loudness': -6.691, 'mode': 1, 'speechiness': 0.0343, 'acousticness': 0.00554, 'instrumentalness': 0.000473, 'liveness': 0.18, 'valence': 0.791, 'tempo': 119.979, 'type': 'audio_features', 'id': '32tAyhy8cszoMMw1XGwlyE', 'uri': 'spotify:track:32tAyhy8cszoMMw1XGwlyE', 'track_href': 'https://api.spotify.com/v1/tracks/32tAyhy8cszoMMw1XGwlyE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/32tAyhy8cszoMMw1XGwlyE', 'duration_ms': 185513, 'time_signature': 4}"
31,"{'danceability': 0.67, 'energy': 0.769, 'key': 6, 'loudness': -5.134, 'mode': 1, 'speechiness': 0.0326, 'acousticness': 0.0213, 'instrumentalness': 7.96e-05, 'liveness': 0.0763, 'valence': 0.718, 'tempo': 119.996, 'type': 'audio_features', 'id': '3wCB2DBI3EEMFvwC90TEKK', 'uri': 'spotify:track:3wCB2DBI3EEMFvwC90TEKK', 'track_href': 'https://api.spotify.com/v1/tracks/3wCB2DBI3EEMFvwC90TEKK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3wCB2DBI3EEMFvwC90TEKK', 'duration_ms': 185064, 'time_signature': 4}"
32,"{'danceability': 0.608, 'energy': 0.899, 'key': 2, 'loudness': -3.185, 'mode': 1, 'speechiness': 0.0392, 'acousticness': 0.0125, 'instrumentalness': 0, 'liveness': 0.211, 'valence': 0.652, 'tempo': 105.032, 'type': 'audio_features', 'id': '7k1pfmKI7t0AprW7SEdFpC', 'uri': 'spotify:track:7k1pfmKI7t0AprW7SEdFpC', 'track_href': 'https://api.spotify.com/v1/tracks/7k1pfmKI7t0AprW7SEdFpC', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7k1pfmKI7t0AprW7SEdFpC', 'duration_ms': 185429, 'time_signature': 4}"
33,"{'danceability': 0.749, 'energy': 0.723, 'key': 1, 'loudness': -6.609, 'mode': 1, 'speechiness': 0.0432, 'acousticness': 0.0563, 'instrumentalness': 0.022, 'liveness': 0.0977, 'valence': 0.674, 'tempo': 108.999, 'type': 'audio_features', 'id': '5HeKOKc4phmLn8e4I7EkzD', 'uri': 'spotify:track:5HeKOKc4phmLn8e4I7EkzD', 'track_href': 'https://api.spotify.com/v1/tracks/5HeKOKc4phmLn8e4I7EkzD', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5HeKOKc4phmLn8e4I7EkzD', 'duration_ms': 229120, 'time_signature': 4}"
34,"{'danceability': 0.398, 'energy': 0.706, 'key': 7, 'loudness': -4.301, 'mode': 1, 'speechiness': 0.0565, 'acousticness': 0.129, 'instrumentalness': 6.89e-06, 'liveness': 0.293, 'valence': 0.516, 'tempo': 122.049, 'type': 'audio_features', 'id': '0NoN2f4Qmp0J7QCbk22z6P', 'uri': 'spotify:track:0NoN2f4Qmp0J7QCbk22z6P', 'track_href': 'https://api.spotify.com/v1/tracks/0NoN2f4Qmp0J7QCbk22z6P', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0NoN2f4Qmp0J7QCbk22z6P', 'duration_ms': 241787, 'time_signature': 4}"
35,"{'danceability': 0.78, 'energy': 0.574, 'key': 7, 'loudness': -10.481, 'mode': 0, 'speechiness': 0.0385, 'acousticness': 0.144, 'instrumentalness': 0.0123, 'liveness': 0.108, 'valence': 0.391, 'tempo': 100.008, 'type': 'audio_features', 'id': '7GdwIsiVLKrsvwFsdBK9Cy', 'uri': 'spotify:track:7GdwIsiVLKrsvwFsdBK9Cy', 'track_href': 'https://api.spotify.com/v1/tracks/7GdwIsiVLKrsvwFsdBK9Cy', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7GdwIsiVLKrsvwFsdBK9Cy', 'duration_ms': 243163, 'time_signature': 4}"
36,"{'danceability': 0.751, 'energy': 0.727, 'key': 10, 'loudness': -9.789, 'mode': 0, 'speechiness': 0.0304, 'acousticness': 0.0442, 'instrumentalness': 0.0333, 'liveness': 0.1, 'valence': 0.28, 'tempo': 119.983, 'type': 'audio_features', 'id': '3NuzLWsRZXO1QsBUEWseGd', 'uri': 'spotify:track:3NuzLWsRZXO1QsBUEWseGd', 'track_href': 'https://api.spotify.com/v1/tracks/3NuzLWsRZXO1QsBUEWseGd', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3NuzLWsRZXO1QsBUEWseGd', 'duration_ms': 256000, 'time_signature': 4}"
37,"{'danceability': 0.463, 'energy': 0.755, 'key': 5, 'loudness': -5.693, 'mode': 0, 'speechiness': 0.0333, 'acousticness': 0.106, 'instrumentalness': 0.000239, 'liveness': 0.12, 'valence': 0.589, 'tempo': 145.023, 'type': 'audio_features', 'id': '5hAzmOywH0Z5QNz44IS8nh', 'uri': 'spotify:track:5hAzmOywH0Z5QNz44IS8nh', 'track_href': 'https://api.spotify.com/v1/tracks/5hAzmOywH0Z5QNz44IS8nh', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5hAzmOywH0Z5QNz44IS8nh', 'duration_ms': 284080, 'time_signature': 4}"
38,"{'danceability': 0.6, 'energy': 0.535, 'key': 5, 'loudness': -8.187, 'mode': 0, 'speechiness': 0.024, 'acousticness': 0.214, 'instrumentalness': 0.00149, 'liveness': 0.14, 'valence': 0.72, 'tempo': 108.049, 'type': 'audio_features', 'id': '1UaRV2N4DsboFIr5FxCH3P', 'uri': 'spotify:track:1UaRV2N4DsboFIr5FxCH3P', 'track_href': 'https://api.spotify.com/v1/tracks/1UaRV2N4DsboFIr5FxCH3P', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1UaRV2N4DsboFIr5FxCH3P', 'duration_ms': 185598, 'time_signature': 4}"
39,"{'danceability': 0.508, 'energy': 0.692, 'key': 9, 'loudness': -4.783, 'mode': 1, 'speechiness': 0.0334, 'acousticness': 0.0645, 'instrumentalness': 0.0434, 'liveness': 0.0882, 'valence': 0.55, 'tempo': 125.106, 'type': 'audio_features', 'id': '3HV23W4RT8HvPH2AP0lDOc', 'uri': 'spotify:track:3HV23W4RT8HvPH2AP0lDOc', 'track_href': 'https://api.spotify.com/v1/tracks/3HV23W4RT8HvPH2AP0lDOc', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3HV23W4RT8HvPH2AP0lDOc', 'duration_ms': 188427, 'time_signature': 4}"
40,"{'danceability': 0.91, 'energy': 0.37, 'key': 1, 'loudness': -10.731, 'mode': 0, 'speechiness': 0.0413, 'acousticness': 0.302, 'instrumentalness': 0.00143, 'liveness': 0.067, 'valence': 0.962, 'tempo': 112.033, 'type': 'audio_features', 'id': '61au8r2wPFZVPhEG11bQTx', 'uri': 'spotify:track:61au8r2wPFZVPhEG11bQTx', 'track_href': 'https://api.spotify.com/v1/tracks/61au8r2wPFZVPhEG11bQTx', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/61au8r2wPFZVPhEG11bQTx', 'duration_ms': 171696, 'time_signature': 4}"
41,"{'danceability': 0.353, 'energy': 0.893, 'key': 2, 'loudness': -4.327, 'mode': 1, 'speechiness': 0.102, 'acousticness': 0.0393, 'instrumentalness': 0, 'liveness': 0.0905, 'valence': 0.507, 'tempo': 154.002, 'type': 'audio_features', 'id': '50VwKW6Dy7xBL6PPsNmFJC', 'uri': 'spotify:track:50VwKW6Dy7xBL6PPsNmFJC', 'track_href': 'https://api.spotify.com/v1/tracks/50VwKW6Dy7xBL6PPsNmFJC', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/50VwKW6Dy7xBL6PPsNmFJC', 'duration_ms': 217382, 'time_signature': 4}"
42,"{'danceability': 0.443, 'energy': 0.403, 'key': 0, 'loudness': -8.339, 'mode': 1, 'speechiness': 0.0322, 'acousticness': 0.631, 'instrumentalness': 0, 'liveness': 0.111, 'valence': 0.41, 'tempo': 143.462, 'type': 'audio_features', 'id': '7iN1s7xHE4ifF5povM6A48', 'uri': 'spotify:track:7iN1s7xHE4ifF5povM6A48', 'track_href': 'https://api.spotify.com/v1/tracks/7iN1s7xHE4ifF5povM6A48', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7iN1s7xHE4ifF5povM6A48', 'duration_ms': 243027, 'time_signature': 4}"
43,"{'danceability': 0.64, 'energy': 0.608, 'key': 2, 'loudness': -5.832, 'mode': 1, 'speechiness': 0.0339, 'acousticness': 0.189, 'instrumentalness': 0.385, 'liveness': 0.382, 'valence': 0.622, 'tempo': 99.979, 'type': 'audio_features', 'id': '5hFSugZQs0ZbzOS4fx68wY', 'uri': 'spotify:track:5hFSugZQs0ZbzOS4fx68wY', 'track_href': 'https://api.spotify.com/v1/tracks/5hFSugZQs0ZbzOS4fx68wY', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5hFSugZQs0ZbzOS4fx68wY', 'duration_ms': 205840, 'time_signature': 4}"
